0,1.4307,0.71289,-2.1199,-187.5,305.43,-125.75,312.12,10.684
0.0007,1.0547,1.0352,-2.0807,-246.21,294.54,-54.672,312.14,10.903
0.0014,0.4834,1.4355,-1.9187,-290.12,271.27,14.911,312.15,11.121
0.0021,-0.11719,1.8359,-1.7273,-311.83,231.17,75.547,312.16,11.34
0.0028,-0.55664,2.1191,-1.5801,-314.3,173.26,134.2,312.17,11.558
0.0035,-0.88867,2.2021,-1.3348,-309.86,105.93,198.31,312.18,11.777
0.0042,-1.2695,2.1289,-0.89802,-297.03,35.146,256.46,312.2,11.995
0.0049,-1.6846,1.9336,-0.29443,-267.92,-35.146,294.24,312.22,12.214
0.0056,-2.0215,1.7383,0.23555,-221.54,-95.539,308.65,312.23,12.433
0.0063,-2.2119,1.5625,0.6085,-161.34,-154.45,309.64,312.24,12.651
0.007,-2.2314,1.2695,0.94219,-91.774,-216.32,304.18,312.27,12.87
0.0077,-2.1338,0.79102,1.3151,-21.71,-271.77,286.78,312.29,13.088
0.0084,-1.8555,0.14648,1.6881,44.407,-305.43,253.48,312.31,13.307
0.0091,-1.6064,-0.37598,1.9629,102.63,-313.84,204.77,312.32,13.525
0.0098,-1.4062,-0.72266,2.1003,163.81,-310.38,142.15,312.33,13.744
0.0105,-1.0693,-1.0107,2.0659,225.49,-303.45,71.571,312.34,13.963
0.0112,-0.55176,-1.3623,1.9236,275.32,-283.65,-0.99404,312.34,14.181
0.0119,0.058594,-1.748,1.7077,304.43,-248,-62.625,312.34,14.4
0.0126,0.50781,-2.0459,1.5507,310.85,-195.04,-119.29,312.34,14.618
0.0133,0.83984,-2.1729,1.3495,306.9,-130.69,-183.4,312.35,14.837
0.014,1.1768,-2.1289,0.98145,297.53,-60.392,-245.53,312.36,15.055
0.0147,1.582,-1.9678,0.43184,274.33,12.375,-288.77,312.36,15.274
0.0154,1.9434,-1.7578,-0.1374,232.89,75.243,-310.14,312.36,15.493
0.0161,2.1582,-1.5869,-0.52998,175.16,131.68,-314.61,312.35,15.711
0.0168,2.2412,-1.3574,-0.85876,109.04,194.05,-310.64,312.35,15.93
0.0175,2.1729,-0.9375,-1.2121,38.486,254.44,-296.22,312.34,16.149
0.0182,1.9336,-0.32715,-1.5899,-31.578,294.54,-268.89,312.32,16.367
0.0189,1.6553,0.26367,-1.904,-91.774,308.4,-225.65,312.32,16.586
0.0196,1.46,0.63965,-2.0758,-148.52,308.89,-165.01,312.31,16.805
0.0203,1.1816,0.92773,-2.0905,-211.18,303.45,-95.428,312.3,17.023
0.021,0.72754,1.2402,-1.9727,-266.93,286.12,-25.845,312.29,17.242
0.0217,0.12207,1.626,-1.7617,-302.95,255.43,40.756,312.29,17.46
0.0224,-0.39551,1.9629,-1.585,-312.82,209.89,99.901,312.28,17.679
0.0231,-0.7373,2.1484,-1.4231,-312.33,146.53,160.54,312.27,17.897
0.0238,-1.04,2.1338,-1.1238,-307.89,76.728,223.16,312.25,18.116
0.0245,-1.4111,2.0068,-0.63303,-286.67,5.4452,274.85,312.24,18.335
0.0252,-1.8018,1.8018,-0.053979,-250.65,-60.392,304.18,312.23,18.553
0.0259,-2.0703,1.6406,0.38276,-198.35,-119.79,309.15,312.22,18.772
0.0266,-2.1973,1.4551,0.71646,-133.71,-179.69,308.65,312.2,18.99
0.0273,-2.1729,1.1084,1.0403,-62.663,-241.07,299.7,312.19,19.209
0.028,-2.0117,0.57129,1.428,6.4143,-288.6,273.86,312.19,19.427
0.0287,-1.7529,-0.048828,1.7813,68.584,-311.86,235.59,312.18,19.646
0.0294,-1.5576,-0.49805,2.0267,128.29,-312.36,181.41,312.16,19.864
0.0301,-1.3379,-0.80078,2.1101,189.47,-308.89,113.32,312.14,20.083
0.0308,-0.93262,-1.1182,2.0463,247.2,-298.5,40.259,312.13,20.301
0.0315,-0.36133,-1.5039,1.8697,290.62,-270.28,-26.342,312.14,20.52
0.0322,0.21484,-1.8896,1.6881,309.86,-228.2,-84.991,312.14,20.739
0.0329,0.61035,-2.1533,1.5458,308.87,-171.28,-146.62,312.14,20.957
0.0336,0.9375,-2.207,1.2906,303.94,-102.47,-210.74,312.13,21.176
0.0343,1.3086,-2.124,0.84404,291.6,-28.711,-264.91,312.12,21.394
0.035,1.709,-1.9287,0.26499,260.03,39.602,-300.7,312.11,21.612
0.0357,2.0361,-1.748,-0.23555,209.21,96.529,-315.11,312.11,21.831
0.0364,2.2168,-1.6016,-0.58396,150,157.42,-314.12,312.11,22.049
0.0371,2.251,-1.3135,-0.91274,81.906,221.77,-305.67,312.12,22.268
0.0378,2.1533,-0.83008,-1.3004,8.3879,273.25,-287.28,312.12,22.486
0.0385,1.9043,-0.2002,-1.6881,-58.222,302.46,-254.47,312.11,22.705
0.0392,1.6797,0.31738,-1.9678,-113.98,310.38,-201.29,312.11,22.923
0.0399,1.4844,0.6543,-2.115,-173.68,308.4,-136.18,312.12,23.142
0.0406,1.1328,0.97168,-2.0905,-237.33,297.01,-68.092,312.13,23.361
0.0413,0.60059,1.3525,-1.9531,-285.19,275.23,2.4851,312.13,23.579
0.042,-0.019531,1.7627,-1.7519,-308.87,240.58,66.601,312.14,23.798
0.0427,-0.4834,2.0752,-1.6047,-313.81,185.63,124.26,312.16,24.016
0.0434,-0.8252,2.2021,-1.3986,-311.83,118.8,185.39,312.18,24.235
0.0441,-1.1865,2.1484,-0.99126,-300.49,47.522,247.02,312.19,24.453
0.0448,-1.6016,1.9775,-0.42202,-274.33,-22.771,289.76,312.2,24.672
0.0455,-1.9727,1.7676,0.14722,-230.92,-85.143,307.66,312.22,24.891
0.0462,-2.1826,1.5967,0.53979,-172.69,-143.56,309.64,312.24,25.109
0.0469,-2.251,1.3477,0.87839,-105.1,-205.43,306.17,312.26,25.328
0.0476,-2.1631,0.89355,1.2464,-34.045,-263.35,290.26,312.28,25.546
0.0483,-1.9189,0.27344,1.6243,33.552,-300.48,260.94,312.29,25.765
0.049,-1.6406,-0.29785,1.9236,93.748,-313.35,215.21,312.31,25.983
0.0497,-1.4453,-0.66895,2.0905,151.97,-312.36,153.08,312.32,26.202
0.0504,-1.1377,-0.96191,2.0856,214.14,-306.42,83.5,312.33,26.42
0.0511,-0.66406,-1.2891,1.958,268.91,-287.11,13.917,312.35,26.639
0.0518,-0.058594,-1.6797,1.7372,301.47,-255.43,-51.69,312.35,26.858
0.0525,0.44434,-2.002,1.5752,309.37,-207.91,-110.34,312.37,27.076
0.0532,0.78613,-2.1729,1.4035,307.89,-143.06,-171.47,312.38,27.295
0.0539,1.1133,-2.1484,1.06,301.97,-71.283,-234.1,312.38,27.514
0.0546,1.5039,-2.002,0.5447,279.27,-0.49502,-283.8,312.38,27.732
0.0553,1.8848,-1.7969,-0.034351,240.29,62.372,-309.64,312.38,27.951
0.056,2.1289,-1.6211,-0.46619,186.51,122.27,-314.12,312.38,28.169
